study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB52707	SAMEA115958685	ERX12973086	ERR13602093	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/093/ERR13602093/ERR13602093.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602093/KNF010.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602093/KNF010.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958648	ERX12973049	ERR13602056	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/056/ERR13602056/ERR13602056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602056/460.merged.hg19.sort.rmdup.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602056/460.merged.hg19.sort.rmdup.sort.bam.bai		
PRJEB52707	SAMEA115958687	ERX12973088	ERR13602095	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/095/ERR13602095/ERR13602095.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602095/KNF013.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602095/KNF013.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958653	ERX12973054	ERR13602061	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/061/ERR13602061/ERR13602061.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602061/466.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602061/466.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958654	ERX12973055	ERR13602062	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/062/ERR13602062/ERR13602062.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602062/467.merged.hg19.sort.rmdup.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602062/467.merged.hg19.sort.rmdup.sort.bam.bai		
PRJEB52707	SAMEA115958688	ERX12973089	ERR13602096	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/096/ERR13602096/ERR13602096.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602096/KNF014.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602096/KNF014.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958656	ERX12973057	ERR13602064	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/064/ERR13602064/ERR13602064.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602064/469.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602064/469.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958689	ERX12973090	ERR13602097	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/097/ERR13602097/ERR13602097.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602097/KNF015.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602097/KNF015.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958690	ERX12973091	ERR13602098	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/098/ERR13602098/ERR13602098.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602098/KNF016.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602098/KNF016.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958657	ERX12973058	ERR13602065	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/065/ERR13602065/ERR13602065.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602065/470.merged.hg19.sort.rmdup.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602065/470.merged.hg19.sort.rmdup.sort.bam.bai		
PRJEB52707	SAMEA115958692	ERX12973093	ERR13602100	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/000/ERR13602100/ERR13602100.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602100/KNF019.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602100/KNF019.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958664	ERX12973065	ERR13602072	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/072/ERR13602072/ERR13602072.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602072/FEN006.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602072/FEN006.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958666	ERX12973067	ERR13602074	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/074/ERR13602074/ERR13602074.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602074/FEN008.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602074/FEN008.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958699	ERX12973100	ERR13602107	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/007/ERR13602107/ERR13602107.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602107/NWC002.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602107/NWC002.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958702	ERX12973103	ERR13602110	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/010/ERR13602110/ERR13602110.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602110/NWC005.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602110/NWC005.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958670	ERX12973071	ERR13602078	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/078/ERR13602078/ERR13602078.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602078/FEN012.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602078/FEN012.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958676	ERX12973077	ERR13602084	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/084/ERR13602084/ERR13602084.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602084/FEN019.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602084/FEN019.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958705	ERX12973106	ERR13602113	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/013/ERR13602113/ERR13602113.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602113/NWC009.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602113/NWC009.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958678	ERX12973079	ERR13602086	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/086/ERR13602086/ERR13602086.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602086/FEN021.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602086/FEN021.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958682	ERX12973083	ERR13602090	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/090/ERR13602090/ERR13602090.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602090/KNF005.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602090/KNF005.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958707	ERX12973108	ERR13602115	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/015/ERR13602115/ERR13602115.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602115/OVB001.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602115/OVB001.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958710	ERX12973111	ERR13602118	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/018/ERR13602118/ERR13602118.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602118/OVB006.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602118/OVB006.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958683	ERX12973084	ERR13602091	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/091/ERR13602091/ERR13602091.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602091/KNF006.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602091/KNF006.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958711	ERX12973112	ERR13602119	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/019/ERR13602119/ERR13602119.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602119/OVB007.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602119/OVB007.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958684	ERX12973085	ERR13602092	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/092/ERR13602092/ERR13602092.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602092/KNF008.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602092/KNF008.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958712	ERX12973113	ERR13602120	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/020/ERR13602120/ERR13602120.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602120/TRM003.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602120/TRM003.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958693	ERX12973094	ERR13602101	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/001/ERR13602101/ERR13602101.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602101/KNF020.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602101/KNF020.merged.hg19.sort.rmdup.bam.bai		
